DUS,DABGRA,DUS
DUS,DRA,DUS
DUS,DSA,DUS
DUS,GKR,DUS
DUS,GUD,DUS
DUS,JSF,DUS
DUS,HDA,DUS
DUS,SLA,DUS
DUS,SLB,DUS
DUS,JSF,GUD,GKR,TEB,DUS
DUS,SLA,GKR,GUD,HDA,DUS
DUS,SLB,GKR,GUD,HDA,DUS
DUS,HDA,GUD,GKR,TEB,DUS
DUS,SLA,SLB,GKR,GUD,DUS
DUS,SLA,TEB,GKR,GUD,DUS
DUS,SLB,TEB,GKR,GUD,DUS
DUS,JSF,SLA,GKR,HDA,DUS
DUS,JSF,SLB,GKR,HDA,DUS
DUS,JSF,TEB,GKR,HDA,DUS
DUS,SLA,SLB,GKR,JSF,DUS
DUS,JSF,GKR,TEB,SLA,DUS
DUS,JSF,GKR,TEB,SLB,DUS
DUS,SLA,SLB,GKR,HDA,DUS
DUS,SLA,TEB,GKR,HDA,DUS
DUS,SLB,TEB,GKR,HDA,DUS
DUS,GKR,TEB,SLB,SLA,DUS
DUS,JSF,SLA,GUD,HDA,DUS
DUS,JSF,SLB,GUD,HDA,DUS
DUS,JSF,TEB,GUD,HDA,DUS
DUS,SLA,SLB,GUD,JSF,DUS
DUS,JSF,GUD,TEB,SLA,DUS
DUS,JSF,GUD,TEB,SLB,DUS
DUS,HDA,GUD,SLB,SLA,DUS
DUS,HDA,GUD,TEB,SLA,DUS
DUS,HDA,GUD,TEB,SLB,DUS
DUS,GUD,TEB,SLB,SLA,DUS
DUS,JSF,SLA,SLB,HDA,DUS
DUS,JSF,SLA,TEB,HDA,DUS
DUS,JSF,SLB,TEB,HDA,DUS
DUS,JSF,SLB,TEB,SLA,DUS
DUS,HDA,TEB,SLB,SLA,DUS
DUS,DABGRA,GKR,SLB,SLA,DRA,DUS
DUS,DABGRA,GUD,SLB,SLA,DRA,DUS
DUS,DRA,SLA,SLB,DABGRA,HDA,DUS
DUS,DRA,SLA,TEB,SLB,DABGRA,DUS
DUS,DABGRA,GKR,TEB,SLB,SLA,DUS
DUS,DABGRA,GUD,TEB,SLB,SLA,DUS
DUS,HDA,DABGRA,SLB,TEB,SLA,DUS
DUS,DSA,DRA,GKR,GUD,HDA,DUS
DUS,DRA,SLA,GKR,GUD,DSA,DUS
DUS,DRA,SLB,GKR,GUD,DSA,DUS
DUS,DRA,TEB,GKR,GUD,DSA,DUS
DUS,HDA,GKR,SLA,DRA,DSA,DUS
DUS,HDA,GKR,SLB,DRA,DSA,DUS
DUS,DSA,DRA,TEB,GKR,HDA,DUS
DUS,DRA,SLA,SLB,GKR,DSA,DUS
DUS,DRA,SLA,TEB,GKR,DSA,DUS
DUS,DRA,TEB,SLB,GKR,DSA,DUS
DUS,HDA,GUD,SLA,DRA,DSA,DUS
DUS,HDA,GUD,SLB,DRA,DSA,DUS
DUS,DSA,DRA,TEB,GUD,HDA,DUS
DUS,DRA,SLA,SLB,GUD,DSA,DUS
DUS,DRA,SLA,TEB,GUD,DSA,DUS
