DUS,DRA,GKR,HDA,SLA,TEB,DUS
DUS,DRA,GKR,HDA,SLB,TEB,DUS
DUS,DRA,GUD,JSF,GRA,SLA,DUS
DUS,DRA,GUD,JSF,GRA,SLB,DUS
DUS,DRA,GUD,JSF,GRA,TEB,DUS
DUS,DRA,GUD,JSF,HDA,SLA,DUS
DUS,DRA,GUD,JSF,HDA,SLB,DUS
DUS,DRA,GUD,GRA,HDA,SLA,DUS
DUS,DRA,GUD,GRA,HDA,SLB,DUS
DUS,DRA,GUD,GRA,HDA,TEB,DUS
DUS,DRA,GUD,HDA,SLA,TEB,DUS
DUS,DRA,GUD,HDA,SLB,TEB,DUS
DUS,DRA,JSF,GRA,HDA,SLA,DUS
DUS,DRA,JSF,GRA,HDA,SLB,DUS
DUS,DRA,JSF,GRA,HDA,TEB,DUS
DUS,DRA,JSF,HDA,SLA,SLB,DUS
DUS,DRA,JSF,HDA,SLA,TEB,DUS
DUS,DRA,JSF,HDA,SLB,TEB,DUS
DUS,DRA,GRA,HDA,SLA,TEB,DUS
DUS,DRA,GRA,HDA,SLB,TEB,DUS
DUS,DSA,GKR,GUD,HDA,SLA,DUS
DUS,DSA,GKR,GUD,HDA,SLB,DUS
DUS,DSA,GKR,GUD,HDA,TEB,DUS
DUS,DSA,GKR,GUD,SLA,SLB,DUS
DUS,DSA,GKR,GRA,HDA,SLA,DUS
DUS,DSA,GKR,GRA,HDA,SLB,DUS
DUS,DSA,GKR,GRA,HDA,TEB,DUS
DUS,DSA,GKR,HDA,SLA,SLB,DUS
DUS,DSA,GKR,HDA,SLA,TEB,DUS
DUS,DSA,GKR,HDA,SLB,TEB,DUS
DUS,DSA,GKR,SLA,SLB,TEB,DUS
DUS,DSA,GUD,GRA,HDA,TEB,DUS
DUS,DSA,GUD,HDA,SLA,TEB,DUS
DUS,DSA,GUD,HDA,SLB,TEB,DUS
DUS,DSA,GUD,SLA,SLB,TEB,DUS
DUS,DSA,JSF,SLA,SLB,TEB,DUS
DUS,DSA,GRA,SLA,SLB,TEB,DUS
DUS,GKR,GUD,JSF,GRA,SLB,DUS
DUS,GKR,GUD,JSF,HDA,SLA,DUS
DUS,GKR,GUD,GRA,HDA,SLB,DUS
DUS,GKR,GUD,GRA,HDA,TEB,DUS
DUS,GKR,GUD,HDA,SLA,TEB,DUS
DUS,GKR,GUD,HDA,SLB,TEB,DUS
DUS,GKR,GUD,SLA,SLB,TEB,DUS
DUS,GKR,JSF,GRA,HDA,SLA,DUS
DUS,GKR,JSF,GRA,HDA,SLB,DUS
DUS,GKR,JSF,GRA,SLA,TEB,DUS
DUS,GKR,JSF,HDA,SLA,SLB,DUS
DUS,GKR,JSF,HDA,SLA,TEB,DUS
DUS,GKR,JSF,HDA,SLB,TEB,DUS
DUS,GKR,GRA,HDA,SLA,TEB,DUS
DUS,GKR,GRA,HDA,SLB,TEB,DUS
DUS,GUD,JSF,GRA,HDA,SLA,DUS
DUS,GUD,JSF,GRA,HDA,SLB,DUS
DUS,GUD,JSF,HDA,SLA,SLB,DUS
DUS,GUD,JSF,HDA,SLA,TEB,DUS
DUS,GUD,JSF,HDA,SLB,TEB,DUS
DUS,DAB,DRA,GKR,GRA,SLA,SLB,DUS
DUS,DAB,DRA,GUD,GRA,SLA,SLB,DUS
DUS,DAB,DRA,GUD,SLA,SLB,TEB,DUS
DUS,DAB,DRA,GRA,HDA,SLA,SLB,DUS
DUS,DAB,DRA,GRA,SLA,SLB,TEB,DUS
DUS,DAB,DRA,HDA,SLA,SLB,TEB,DUS
DUS,DAB,GKR,GRA,SLA,SLB,TEB,DUS
DUS,DRA,DSA,GKR,GUD,GRA,SLA,DUS
DUS,DRA,DSA,GKR,GUD,GRA,SLB,DUS
DUS,DRA,DSA,GKR,GUD,SLA,TEB,DUS
DUS,DRA,DSA,GKR,GUD,SLB,TEB,DUS
DUS,DRA,DSA,GKR,GRA,HDA,SLA,DUS
DUS,DRA,DSA,GKR,GRA,HDA,SLB,DUS
DUS,DRA,DSA,GKR,GRA,SLA,SLB,DUS
DUS,DRA,DSA,GKR,GRA,SLA,TEB,DUS
DUS,DRA,DSA,GKR,GRA,SLB,TEB,DUS
DUS,DRA,DSA,GKR,HDA,SLA,SLB,DUS
DUS,DRA,DSA,GKR,HDA,SLA,TEB,DUS
DUS,DRA,DSA,GKR,HDA,SLB,TEB,DUS
DUS,DRA,DSA,GUD,GRA,HDA,SLA,DUS
DUS,DRA,DSA,GUD,GRA,HDA,SLB,DUS
DUS,DRA,DSA,GUD,GRA,SLA,SLB,DUS
DUS,DRA,DSA,GUD,GRA,SLA,TEB,DUS
DUS,DRA,DSA,GUD,GRA,SLB,TEB,DUS
DUS,DRA,DSA,GUD,HDA,SLA,SLB,DUS
DUS,DRA,DSA,GUD,HDA,SLA,TEB,DUS
DUS,DRA,DSA,GUD,HDA,SLB,TEB,DUS
DUS,DRA,DSA,GRA,HDA,SLA,SLB,DUS
DUS,DRA,DSA,GRA,HDA,SLA,TEB,DUS
DUS,DRA,DSA,GRA,HDA,SLB,TEB,DUS
DUS,DRA,DSA,HDA,SLA,SLB,TEB,DUS
DUS,DRA,GKR,GUD,GRA,HDA,SLA,DUS
DUS,DRA,GKR,GUD,GRA,HDA,SLB,DUS
DUS,DRA,GKR,GUD,GRA,HDA,TEB,DUS
DUS,DRA,GKR,GUD,GRA,SLA,TEB,DUS
DUS,DRA,GKR,GUD,GRA,SLB,TEB,DUS
DUS,DRA,GKR,GUD,HDA,SLA,SLB,DUS
