DUS,DRA,TEB,SLB,GKR,DSA,DUS
DUS,DRA,SLA,SLB,GUD,DSA,DUS
DUS,DRA,SLA,TEB,GUD,DSA,DUS
DUS,DRA,TEB,SLB,GUD,DSA,DUS
DUS,DRA,SLA,SLB,JSF,DSA,DUS
DUS,DRA,SLA,TEB,SLB,DSA,DUS
DUS,DRA,SLA,GKR,GUD,JSF,DUS
DUS,DRA,SLB,GKR,GUD,JSF,DUS
DUS,DRA,SLA,SLB,GKR,GUD,DUS
DUS,DRA,SLA,TEB,GKR,GUD,DUS
DUS,DRA,TEB,SLB,GKR,GUD,DUS
DUS,DRA,SLA,SLB,GKR,JSF,DUS
DUS,DRA,SLA,TEB,GKR,JSF,DUS
DUS,DRA,TEB,SLB,GKR,JSF,DUS
DUS,DRA,SLA,SLB,TEB,GKR,DUS
DUS,DRA,SLA,SLB,GUD,JSF,DUS
DUS,DRA,SLA,TEB,GUD,JSF,DUS
DUS,DRA,TEB,SLB,GUD,JSF,DUS
DUS,DRA,SLA,SLB,TEB,GUD,DUS
DUS,DRA,SLA,TEB,SLB,JSF,DUS
DUS,SLA,SLB,GKR,GUD,DSA,DUS
DUS,SLA,TEB,GKR,GUD,DSA,DUS
DUS,SLB,TEB,GKR,GUD,DSA,DUS
DUS,DSA,JSF,GKR,SLB,SLA,DUS
DUS,DSA,GKR,TEB,SLB,SLA,DUS
DUS,DSA,JSF,GUD,SLB,SLA,DUS
DUS,SLA,SLB,TEB,GUD,DSA,DUS
DUS,DSA,JSF,SLB,TEB,SLA,DUS
DUS,SLA,SLB,GKR,GUD,JSF,DUS
DUS,SLA,TEB,GKR,GUD,JSF,DUS
DUS,SLB,TEB,GKR,GUD,JSF,DUS
DUS,SLA,SLB,TEB,GKR,GUD,DUS
DUS,JSF,GKR,TEB,SLB,SLA,DUS
DUS,JSF,GUD,TEB,SLB,SLA,DUS
DUS,DRA,SLA,SLB,GKR,GUD,DSA,DUS
DUS,DRA,SLA,TEB,GKR,GUD,DSA,DUS
DUS,DRA,TEB,SLB,GKR,GUD,DSA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,DSA,DUS
DUS,DRA,SLA,SLB,TEB,GUD,DSA,DUS
DUS,DRA,SLA,SLB,TEB,GKR,GUD,DUS
DUS,DRA,SLA,SLB,TEB,GKR,JSF,DUS
DUS,DRA,SLA,SLB,TEB,GUD,JSF,DUS
DUS,SLA,SLB,TEB,GKR,GUD,DSA,DUS
