DUS,DSA,JSF,SLB,SLA,DUS
DUS,DSA,JSF,TEB,SLA,DUS
DUS,DSA,JSF,TEB,SLB,DUS
DUS,DSA,SLA,SLB,GRA,DUS
DUS,DSA,SLA,TEB,GRA,DUS
DUS,DSA,SLB,TEB,GRA,DUS
DUS,DSA,SLB,TEB,SLA,DUS
DUS,JSF,GKR,GUD,GRA,DUS
DUS,JSF,GKR,GUD,HDA,DUS
DUS,SLA,GKR,GUD,JSF,DUS
DUS,SLB,GKR,GUD,JSF,DUS
DUS,JSF,GUD,GKR,TEB,DUS
DUS,GKR,GUD,GRA,HDA,DUS
DUS,SLA,GKR,GUD,GRA,DUS
DUS,SLB,GKR,GUD,GRA,DUS
DUS,GRA,GUD,GKR,TEB,DUS
DUS,SLA,SLB,GKR,GUD,DUS
DUS,SLA,TEB,GKR,GUD,DUS
DUS,SLB,TEB,GKR,GUD,DUS
DUS,JSF,GKR,GRA,HDA,DUS
DUS,SLA,GKR,JSF,GRA,DUS
DUS,JSF,SLB,GKR,GRA,DUS
DUS,JSF,TEB,GKR,GRA,DUS
DUS,SLA,SLB,GKR,JSF,DUS
DUS,JSF,GKR,TEB,SLA,DUS
DUS,JSF,GKR,TEB,SLB,DUS
DUS,GRA,GKR,SLB,SLA,DUS
DUS,GRA,GKR,TEB,SLA,DUS
DUS,GRA,GKR,TEB,SLB,DUS
DUS,GKR,TEB,SLB,SLA,DUS
DUS,HDA,GRA,GUD,JSF,DUS
DUS,JSF,SLA,GUD,GRA,DUS
DUS,JSF,SLB,GUD,GRA,DUS
DUS,JSF,TEB,GUD,GRA,DUS
DUS,SLA,SLB,GUD,JSF,DUS
DUS,JSF,GUD,TEB,SLA,DUS
DUS,JSF,GUD,TEB,SLB,DUS
DUS,SLA,SLB,GUD,GRA,DUS
DUS,GRA,GUD,TEB,SLA,DUS
DUS,GRA,GUD,TEB,SLB,DUS
DUS,GUD,TEB,SLB,SLA,DUS
DUS,GRA,JSF,SLB,SLA,DUS
DUS,SLA,TEB,JSF,GRA,DUS
DUS,JSF,SLB,TEB,GRA,DUS
DUS,JSF,SLB,TEB,SLA,DUS
DUS,GRA,SLB,TEB,SLA,DUS
DUS,DRA,SLA,SLB,DAB,DSA,DUS
DUS,DRA,SLA,GKR,GUD,DAB,DUS
DUS,DRA,SLB,GKR,GUD,DAB,DUS
DUS,DRA,SLA,GKR,DAB,GRA,DUS
DUS,DRA,SLB,GKR,DAB,GRA,DUS
DUS,DRA,TEB,GKR,DAB,GRA,DUS
DUS,DAB,GKR,SLB,SLA,DRA,DUS
DUS,DRA,SLA,TEB,GKR,DAB,DUS
DUS,DAB,GKR,SLB,TEB,DRA,DUS
DUS,GRA,DAB,GUD,SLA,DRA,DUS
DUS,DRA,SLB,GUD,DAB,GRA,DUS
DUS,DRA,TEB,GUD,DAB,GRA,DUS
DUS,DAB,GUD,SLB,SLA,DRA,DUS
DUS,DAB,GUD,TEB,SLA,DRA,DUS
DUS,DAB,GUD,SLB,TEB,DRA,DUS
DUS,DRA,SLA,SLB,DAB,GRA,DUS
DUS,DRA,SLA,TEB,DAB,GRA,DUS
DUS,GRA,DAB,SLB,TEB,DRA,DUS
DUS,DAB,SLB,TEB,SLA,DRA,DUS
DUS,DAB,GKR,SLB,SLA,DSA,DUS
DUS,DAB,GUD,SLB,SLA,DSA,DUS
DUS,DSA,SLA,SLB,DAB,GRA,DUS
DUS,DAB,SLB,TEB,SLA,DSA,DUS
DUS,SLA,GKR,GUD,DAB,GRA,DUS
DUS,SLB,GKR,GUD,DAB,GRA,DUS
DUS,SLA,SLB,GKR,GUD,DAB,DUS
DUS,SLA,TEB,GKR,GUD,DAB,DUS
DUS,SLB,TEB,GKR,GUD,DAB,DUS
DUS,GRA,DAB,GKR,SLB,SLA,DUS
DUS,GRA,DAB,GKR,TEB,SLA,DUS
DUS,GRA,DAB,GKR,TEB,SLB,DUS
DUS,DAB,GKR,TEB,SLB,SLA,DUS
DUS,GRA,DAB,GUD,SLB,SLA,DUS
DUS,GRA,DAB,GUD,TEB,SLA,DUS
DUS,GRA,DAB,GUD,TEB,SLB,DUS
DUS,DAB,GUD,TEB,SLB,SLA,DUS
